what,kind,bundleId,bundleVersion,description,time
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1349995526876
java.specification.version,sysinfo,,,"1.6",1349995526876
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1349995526876
java.version,sysinfo,,,"1.6.0_31",1349995526876
java.vm.info,sysinfo,,,"mixed mode, sharing",1349995526876
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1349995526876
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1349995526876
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1349995526876
java.vm.specification.version,sysinfo,,,"1.0",1349995526876
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1349995526876
java.vm.version,sysinfo,,,"20.6-b01",1349995526876
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1349995528555
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1349995531889
closed,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1349995532108
stopped,bundle,org.eclipse.compare.win32,1.0.0.I20090430-0408,"org.eclipse.compare.win32",1349995532586
stopped,bundle,org.eclipse.mylyn.ide.ant,3.8.2.v20120916-1200,"org.eclipse.mylyn.ide.ant",1349995532587
stopped,bundle,org.eclipse.ant.ui,3.4.2.v20091204_r352,"org.eclipse.ant.ui",1349995532591
stopped,bundle,org.eclipse.mylyn.java.tasks,3.8.2.v20120916-1200,"org.eclipse.mylyn.java.tasks",1349995532592
stopped,bundle,org.eclipse.mylyn.java.ui,3.8.2.v20120916-1200,"org.eclipse.mylyn.java.ui",1349995532594
stopped,bundle,org.eclipse.jdt.junit,3.5.2.r352_v20100113-0800,"org.eclipse.jdt.junit",1349995532596
stopped,bundle,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui",1349995532596
stopped,bundle,org.dyno.visual.swing.borders,0.9.12.I20090422-1500,"org.dyno.visual.swing.borders",1349995532597
stopped,bundle,org.dyno.visual.swing.grouplayouts,0.9.11.I20090415-2230,"org.dyno.visual.swing.grouplayouts",1349995532599
stopped,bundle,org.dyno.visual.swing.layouts,0.9.11.I20090415-2230,"org.dyno.visual.swing.layouts",1349995532600
stopped,bundle,org.dyno.visual.swing.lnfs,0.9.11.I20090415-2230,"org.dyno.visual.swing.lnfs",1349995532601
stopped,bundle,org.dyno.visual.swing.parser,0.9.11.I20090418-2330,"org.dyno.visual.swing.parser",1349995532602
stopped,bundle,org.dyno.visual.swing.types,0.9.11.I20090415-2230,"org.dyno.visual.swing.types",1349995532603
stopped,bundle,org.dyno.visual.swing.widgets,0.9.11.I20090417-1130,"org.dyno.visual.swing.widgets",1349995532605
stopped,bundle,org.dyno.visual.swing,0.9.12.I20090423-1800,"org.dyno.visual.swing",1349995532606
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.200.v20090930-2100_R35x,"org.eclipse.jdt.apt.ui",1349995532608
stopped,bundle,net.sourceforge.metrics,1.3.8.20100730-001,"net.sourceforge.metrics",1349995532608
stopped,bundle,org.tigris.subversion.subclipse.graph,1.0.9,"org.tigris.subversion.subclipse.graph",1349995532608
stopped,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1349995532608
stopped,bundle,org.tigris.subversion.subclipse.tools.usage,1.0.1,"org.tigris.subversion.subclipse.tools.usage",1349995532609
stopped,bundle,com.collabnet.subversion.merge,2.2.4,"com.collabnet.subversion.merge",1349995532609
stopped,bundle,org.tigris.subversion.subclipse.ui,1.6.18,"org.tigris.subversion.subclipse.ui",1349995532610
stopped,bundle,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui",1349995532652
stopped,bundle,org.eclipse.team.cvs.ui,3.3.202.r35x_20090930-0800,"org.eclipse.team.cvs.ui",1349995532658
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.400.v200904300717,"org.eclipse.wst.dtd.ui",1349995532660
stopped,bundle,org.eclipse.wst.xsd.ui,1.2.204.v200909021537,"org.eclipse.wst.xsd.ui",1349995532665
stopped,bundle,org.eclipse.wst.xml.ui,1.1.2.v201001222130,"org.eclipse.wst.xml.ui",1349995532665
stopped,bundle,org.eclipse.wst.common.ui,1.1.402.v200901262305,"org.eclipse.wst.common.ui",1349995532667
stopped,bundle,org.eclipse.wst.sse.ui,1.1.102.v200910200227,"org.eclipse.wst.sse.ui",1349995532670
stopped,bundle,org.eclipse.search,3.5.1.r351_v20090708-0800,"org.eclipse.search",1349995532671
stopped,bundle,org.eclipse.ltk.ui.refactoring,3.4.101.r352_v20100209,"org.eclipse.ltk.ui.refactoring",1349995532671
stopped,bundle,org.eclipse.mylyn.team.ui,3.8.2.v20120916-1200,"org.eclipse.mylyn.team.ui",1349995532672
stopped,bundle,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.ui",1349995532672
stopped,bundle,org.eclipse.mylyn.bugzilla.ui,3.8.2.v20120916-1200,"org.eclipse.mylyn.bugzilla.ui",1349995532673
stopped,bundle,org.eclipse.mylyn.ide.ui,3.8.2.v20120916-1200,"org.eclipse.mylyn.ide.ui",1349995532674
stopped,bundle,org.eclipse.mylyn.resources.ui,3.8.2.v20120916-1200,"org.eclipse.mylyn.resources.ui",1349995532676
stopped,bundle,org.eclipse.mylyn.context.tasks.ui,3.8.2.v20120916-1200,"org.eclipse.mylyn.context.tasks.ui",1349995532678
stopped,bundle,org.eclipse.mylyn.help.ui,3.8.2.v20120916-1200,"org.eclipse.mylyn.help.ui",1349995532679
